DOUBLE_QUOTE,  `"`,
SINGLE_QUOTE,  `'`,
BACKTICK    ,  `'`,
ARROW,  "->",
PIPE ,  "|>",
MONADIC_PIPE,  "|*",
SINGLE_LINE_COMMENT,  "//",
COMMENT_INLINE,  "#",
COMMENT_MULTI_LINE,  "/*",
COLON,  ":",
RESOLUTION,  "::",
SEMICOLON,  ";",
COMMA,  ",",
DOT,  ".",
LPAREN,  "(" ,
RPAREN,  ")",
LBRACKET,  "[",
RBRACKET,  "]",
LCURLY,  "{",
RCURLY,  "}",
LVECT,  "<",
RVECT,  ">",
AT_EACH     ,  "@",
ASSIGN_EQUAL,  "=" ,
PLUS,  "+" ,
MINUS,  "-" ,
MULTIPLY,  "*" ,
DIVIDE,  "/" ,
MODULO,  "%" ,
POWER,  "**" ,
EQUALITY,  "==" ,
NOT_EQUALS,  "!=" ,
GREATER,  ">" ,
LESS,  "<" ,
GREATER_EQUALS,  ">=" ,
LESS_EQUALS,  "<=" ,
BIT_AND,  "&" ,
BIT_OR,  "|" ,
BIT_XOR,  "^" ,
BIT_NOT,  "~" ,
BIT_SHL,  "<<" ,
BIT_SHR,  ">>" ,
ASSIGN,  ":=" ,
ASSIGN_PLUS,  "+=" ,
ASSIGN_MINUS,  "-=" ,
ASSIGN_MULTIPLY,  "*=" ,
ASSIGN_DIVIDE,  "/=" ,
ASSIGN_MODULO,  "%=" ,
INCREMENT,  "++",
DECREMENT,  "--",
